menu,categoria,nota_categoria,producto,gramaje,descripcion,descripcion_completa,precio,nota_producto
"Desayunos","Entradas","","Pan Dulce de Canasta","1 pza","","1 pza","29",""
"Desayunos","Entradas","","Plato de Jocoque","160 g","Acompañado de tortillas hechas a mano.","160 g · Acompañado de tortillas hechas a mano.","69",""
"Desayunos","Entradas","","Hot Cakes con Fruta","3 pzas","Con fruta del día.","3 pzas · Con fruta del día.","109",""
"Desayunos","Entradas","","Pan Francés","2 pzas","","2 pzas","109",""
"Desayunos","Entradas","","Plato de Fruta con Yogurt","60 g de yogurt","Con fruta del día y granola.","60 g de yogurt · Con fruta del día y granola.","109",""
"Desayunos","Chilaquiles","Con chorizo, chicharrón o asada 80 g: más $60 · Huevo 1 pza: más $20 · Pollo 80 g: más $40","Rojos","","Tira de maíz frita bañada en salsa de jitomate y serrano. Coronados con cebolla, queso fresco, crema y cilantro.","Tira de maíz frita bañada en salsa de jitomate y serrano. Coronados con cebolla, queso fresco, crema y cilantro.","149",""
"Desayunos","Chilaquiles","Con chorizo, chicharrón o asada 80 g: más $60 · Huevo 1 pza: más $20 · Pollo 80 g: más $40","Verdes","","Tira de maíz frita bañada en salsa de tomate verde, chile serrano, cilantro, cebolla y epazote. Coronados con cebolla, queso fresco, crema y cilantro.","Tira de maíz frita bañada en salsa de tomate verde, chile serrano, cilantro, cebolla y epazote. Coronados con cebolla, queso fresco, crema y cilantro.","149",""
"Desayunos","Chilaquiles","Con chorizo, chicharrón o asada 80 g: más $60 · Huevo 1 pza: más $20 · Pollo 80 g: más $40","Enchipotlados","","Tira de maíz frita bañada en salsa de jitomate, cebolla, chile chipotle y crema. Coronados con cebolla, queso fresco, crema y cilantro.","Tira de maíz frita bañada en salsa de jitomate, cebolla, chile chipotle y crema. Coronados con cebolla, queso fresco, crema y cilantro.","149",""
"Desayunos","Chilaquiles","Con chorizo, chicharrón o asada 80 g: más $60 · Huevo 1 pza: más $20 · Pollo 80 g: más $40","Enmolados","","Tira de maíz frita bañada en mole de la casa, acompañados de queso fresco, cebolla morada y ajonjolí.","Tira de maíz frita bañada en mole de la casa, acompañados de queso fresco, cebolla morada y ajonjolí.","169",""
"Desayunos","Chilaquiles","Con chorizo, chicharrón o asada 80 g: más $60 · Huevo 1 pza: más $20 · Pollo 80 g: más $40","Entre Chilaquiles","","Delicado omelette bañado en chilaquiles a elección. Coronados con cebolla, queso fresco, crema y cilantro.","Delicado omelette bañado en chilaquiles a elección. Coronados con cebolla, queso fresco, crema y cilantro.","169",""
